Hole ID,Depth Fom,Depth To,Length,X,Y,Z,Al2O3,CaO,Fe,K2O,LOI,MgO,Mn,P,S,SiO2,TiO2,Fe.ox.ai,Kaolinite.abundance,hem.goe,Domains
Line#1,0,1,1,548001.3,7474002,441.5,22.05,0.99,10,0.045000003,9.93999922,1.87,0,0.003,0.002,48.78,1.624,0.103,0.149000004,907.700012,Domain 1
Line#1,1,2,1,548001.3,7474002,440.5,19.8,1.12,14,0.049,9.89,1.95,0,0.007,0.008999999,45.56,1.182,0.175999999,0.119999997,899.190002,Domain 1
Line#1,2,3,1,548001.3,7474002,439.5,21.09,0.779999951,13,0.05,10.22,1.92,0,0.007,0.006,44.95,1.279,0.204999998,0.143999994,903.630005,Domain 1
Line#1,3,4,1,548001.3,7474002,438.5,19,0.62,19,0.039,10.4799992,1.78,0,0.01,0.004,39.62,0.903,0.229000002,0.133000001,911.22998,Domain 2
Line#1,4,5,1,548001.3,7474002,437.5,11.91,0.4,37,0.023,11.57,0.95,0.02,0.025,0.017999999,21.65,0.41,0.272000015,0.079099998,911.719971,Domain 2
Line#1,5,6,1,548001.3,7474002,436.5,3.1400002,0.24,48,0.007,10.24,0.34,0.05,0.02,0.007,16.2900016,0.112,0.248999998,0.0086,909.280029,Domain 3
Line#1,6,7,1,548001.3,7474002,435.5,1.38,0.06,40,0.004,7.3,0.090000006,0.06,0.015,0.006,32.97,0.055,0.231999993,0.0086,909.469971,Domain 3
Line#1,7,8,1,548001.3,7474002,434.5,2.55,0.07,56,0.007,11.21,0.21,0.11,0.03,0.017000002,5.75,0.097,0.241999999,0.0086,910.559998,Domain 3
Line#1,8,9,1,548001.3,7474002,433.5,3.47,0.090000006,55,0.008999999,11.35,0.29,0.13,0.028,0.012,6.92,0.142,0.234999999,0.0086,911.789978,Domain 3
Line#1,9,10,1,548001.3,7474002,432.5,4.28000039,0.090000006,53,0.007,11.84,0.32,0.13,0.035999997,0.026,7.7,0.126,0.241999999,0.0086,912.25,Domain 3
Line#1,10,11,1,548001.3,7474002,431.5,2.97,0.08,54,0.013,11.36,0.23,0.16,0.03,0.088,7.07,0.115,0.232999995,0.0086,911.900024,Domain 3
Line#1,11,12,1,548001.3,7474002,430.5,1.37,0.04,49,0.008,9.57,0.11,0.15,0.022,0.02,19.1,0.057,0.236000001,0.0086,911.460022,Domain 3
Line#1,12,13,1,548001.3,7474002,429.5,1.3200001,0.07,53,0.01,10.36,0.14,0.15,0.025,0.021,12.4399992,0.051,0.25,0.0086,911.76001,Domain 3
Line#1,13,14,1,548001.3,7474002,428.5,3.74,0.14,52,0.037,11.24,0.330000024,0.180000012,0.041,0.02,9.79,0.161,0.272000015,0.0086,913.890015,Domain 3
Line#1,14,15,1,548001.3,7474002,427.5,3.32,0.14,53,0.035,11.47,0.32,0.2,0.035999997,0.017999999,7.84,0.135,0.254000008,0.0086,912.710022,Domain 3
Line#1,15,16,1,548001.3,7474002,426.5,3.29,0.5,53,0.028,11.8,0.57,0.21,0.028,0.025,8.08,0.171,0.270999998,0.0086,912.890015,Domain 3
Line#1,16,17,1,548001.3,7474002,425.5,2.6300002,0.16,55,0.021,11.47,0.31,0.26,0.03,0.049,5.91,0.128999988,0.241999999,0.0086,913.429993,Domain 3
Line#1,17,18,1,548001.3,7474002,424.5,2.4,0.15,55,0.016,11.6,0.29,0.26,0.028,0.039,5.68,0.11,0.250999987,0.0086,913.809998,Domain 3
Line#1,18,19,1,548001.3,7474002,423.5,1.83,0.12,57,0.017999999,11.61,0.26,0.37,0.027,0.029,4.84,0.071,0.226999998,0.0086,915.47998,Domain 3
Line#1,19,20,1,548001.3,7474002,422.5,14.605,0.235,32.5,0.0685,11.455,0.665000049,0.185,0.015,0.016,25.265,1.2275,0.12325,0.182300001,675.702515,
Line#1,20,21,1,548001.3,7474002,421.5,27.38,0.35,8,0.119,11.3,1.0700001,0,0.003,0.003,45.69,2.384,0.0195,0.356000006,435.924988,
Line#1,21,22,1,548001.3,7474002,420.5,12.29,0.14,38,0.026,11.62,0.51,0.12,0.014,0.04,19.59,0.734000049,0.219999999,0.140000001,915.630005,Domain 2
Line#1,22,23,1,548001.3,7474002,419.5,5.25,0.1,51,0.014,11.5,0.3,0.22,0.043,0.017999999,9.39,0.26,0.224000007,0.0086,913.210022,Domain 3
Line#1,23,24,1,548001.3,7474002,418.5,6.7,0.12,47,0.019,11.4399992,0.38,0.2,0.057,0.014,12.5600008,0.375999976,0.224000007,0.0086,913.650024,Domain 3
Line#1,24,25,1,548001.3,7474002,417.5,6.05,0.090000006,50,0.02,11.36,0.27,0.16,0.065,0.008999999,9.5,0.479,0.216000006,0.0295,914.619995,Domain 3
Line#1,25,26,1,548001.3,7474002,416.5,11.2700008,0.14,39,0.044,11.43,0.44,0.15,0.053,0.007,19.85,0.815,0.219999999,0.105999999,915.320007,Domain 2
Line#1,26,27,1,548001.3,7474002,415.5,8.54,0.11,42,0.04,11.35,0.360000024,0.19,0.062,0.008999999,18.16,0.76,0.202999994,0.090599999,915.130005,Domain 2
Line#1,27,28,1,548001.3,7474002,414.5,8.3,0.11,45,0.019,11.43,0.41,0.2,0.064,0.004,14.68,0.469,0.217999995,0.040899999,914.109985,Domain 2
Line#1,28,29,1,548001.3,7474002,413.5,10.74,0.15,40,0.025,11.47,0.5,0.19,0.058,0.004,19.2900016,0.531,0.206,0.100000001,916.76001,Domain 2
Line#1,29,30,1,548001.3,7474002,412.5,7.85,0.090000006,40,0.023,10.35,0.3,0.1,0.091,0.005,22.19,0.552999951,0.207000002,0.031199999,912.659973,Domain 2
Line#1,30,31,1,548001.3,7474002,411.5,8.57,0.1,38,0.027,10.0600008,0.29,0.07,0.08,0.005,25.76,0.603,0.206,0.039900001,912.900024,Domain 2
Line#1,31,32,1,548001.3,7474002,410.5,11.71,0.17,36,0.067,11.12,0.5,0.21,0.087,0.005,23.9599984,0.712,0.206,0.0484,911.309998,Domain 2
Line#1,32,33,1,548001.3,7474002,409.5,9.21,0.55,25,0.075,19.27,0.46,0.42,0.029,0.642,31.71,0.798,0.037000001,0.080200002,960.090027,Domain 2
Line#1,33,34,1,548001.3,7474002,408.5,10.2299992,0.4,30,0.082999994,13.82,0.589999951,0.41,0.088,0.049,30.44,0.806,0.111000001,0.097099997,923.52002,Domain 4
Line#1,34,35,1,548001.3,7474002,407.5,7.25,0.65,32,0.074,19.07,0.74,1.02,0.054,0.014,23.25,0.609000049,0.128999993,0.108999997,924.280029,Domain 2
Line#2,0,1,1,547804.6,7474004.5,441.4,20.02,5.56,11,0.053,13.63,2.74,0,0.005,0.011,41.1699969,0.584,0.127000004,0.173999995,920.630005,Domain 5
